iter,prod_th,fuel_kgh,tg_viol_pct,tp_ok_pct,tg_max_C
1,792.61846442506,1844.58567471506,0,100,793.348927369546
2,822.626382664301,1914.4202528841,0,99.889012208657,788.946440577166
3,816.054088782877,1899.12517752589,0,100,793.865419815924
4,822.328870127967,1913.72788021401,0,100,791.296125938406
5,822.624951920683,1914.41692325036,0,100,790.562650438732
6,818.85933935722,1905.65357076383,0,99.889012208657,792.189281950502
7,786.88490325182,1831.24250233144,0,99.889012208657,793.136423577001
8,796.57909452323,1853.80287298867,0,100,793.736987843398
9,806.281791874157,1876.38303903691,0,99.889012208657,793.388351374437
10,803.839611351309,1870.69958424787,0,99.889012208657,794.155231579555
11,793.775670955128,1847.27873156884,0,0,793.323672313549
12,812.69079352797,1891.29809990219,0,99.7780244173141,794.21715154234
13,814.663380252461,1895.88871364315,0,100,793.595426686059
14,803.894852218223,1870.82814107104,0,100,792.26351381953
15,800.383041182432,1862.6554367755,0,99.889012208657,792.921837024842
16,799.560619141199,1860.74149206702,0,100,794.031882657554
17,791.189665463261,1841.26056658893,0,99.889012208657,794.218225396122
18,810.059599009066,1885.17477079141,0,99.7780244173141,795.514583805093
19,815.806536031473,1898.54907151844,0,100,792.204627517856
20,768.145478420084,1787.63201866438,0,100,792.492871814777
21,762.113961909234,1773.59544312132,0,100,792.784964306066
22,822.626382664301,1914.4202528841,0,100,790.046428078759
23,798.692604842524,1858.72144482785,0,99.889012208657,792.904506083724
24,791.318936444129,1841.56140666542,0,100,792.963961694743
25,802.166335302459,1866.80552781583,0,99.889012208657,793.666607969135
26,814.328075670195,1895.1083911338,0,100,792.659138137477
27,816.136573680619,1899.31713679455,0,100,792.731363598843
28,803.843525685855,1870.7086937069,0,100,793.208932355338
29,793.406498046528,1846.4195905202,0,100,794.912154798944
30,808.17028421608,1880.77794790803,0,99.889012208657,794.020453703831
31,795.555787849566,1851.4214285538,0,100,792.500242741976
32,796.111321490943,1852.71426923655,0,100,792.126999211918
33,816.957652390215,1901.22795529489,0,99.889012208657,792.415972446193
34,802.720969285485,1868.09627480914,0,100,792.949369595709
35,814.582636565586,1895.70080652918,0,100,792.733048588624
36,801.927747054168,1866.25028404508,0,99.889012208657,792.835197432241
37,822.626382664301,1914.4202528841,0,99.889012208657,787.475747552203
38,813.12663848446,1892.31240047582,0,100,792.857163125908
39,781.058977831629,1817.68437940803,0,100,792.080866582307
40,797.566532010376,1856.10084247237,0,100,792.262875524937
41,821.661214983253,1912.17410980509,0,100,791.47676804438
42,822.626382664301,1914.4202528841,0,100,789.432243712256
43,803.533773880875,1869.98783774931,0,100,793.510013891686
44,822.626382664301,1914.4202528841,0,99.889012208657,789.117842554109
45,809.443748578105,1883.74156057274,0,99.889012208657,792.741999231867
46,768.083164671237,1787.48700179483,0,100,791.973790989898
47,785.599657497752,1828.25147195195,0,100,793.130289071653
48,784.10968453035,1824.78399937247,0,100,791.542136102804
49,822.626382664301,1914.4202528841,0,100,787.741521273816
50,787.843402031311,1833.47312550922,0,99.889012208657,792.117867075558
51,806.568529661073,1877.05033665598,0,100,793.129784723532
52,793.455996932037,1846.53478457537,0,100,793.85574965696
53,802.450394478084,1867.46659175724,0,99.889012208657,792.188217778183
54,799.085762535251,1859.63640338667,0,100,793.048121124931
55,781.535423376417,1818.79316587484,0,100,792.510113254949
56,808.092451619617,1880.5968154983,0,100,794.041194919738
57,822.626382664301,1914.4202528841,0,100,783.253650375179
58,786.279931294402,1829.83460855109,0,99.889012208657,794.23001185256
59,801.823290604389,1866.00719247007,0,100,792.682310472951
60,791.654004191043,1842.34117801034,0,99.889012208657,793.772942528028
61,822.626382664301,1914.4202528841,0,100,783.501053954406
62,793.168655358536,1845.86608182112,0,100,792.626439707178
63,817.118939709588,1901.60330395529,0,100,792.744363454731
64,822.626382664301,1914.4202528841,0,99.889012208657,787.301910399964
65,798.445960759269,1858.14745347748,0,100,792.076582590376
66,813.621788443162,1893.46471594871,0,100,792.008265113757
67,816.980591604606,1901.28133954993,0,100,793.192653816344
68,803.2265180262,1869.2727903798,0,100,794.729075275547
69,813.559084803482,1893.31879172326,0,100,792.904629641533
70,794.722169812149,1849.48142846672,0,100,792.130591713964
71,813.274426255316,1892.65633291905,0,100,792.886103159358
72,774.026050835677,1801.31731635019,0,100,792.353275385678
73,792.14620030378,1843.48661927806,0,100,793.225714002367
74,820.332324200626,1909.08150849575,0,99.889012208657,792.995266591621
75,822.626382664301,1914.4202528841,0,100,788.980085235904
76,800.175840313993,1862.17323787292,0,100,793.196327606272
77,799.017427982747,1859.47737487258,0,100,792.952005037002
78,790.634223744459,1839.96793982886,0,100,792.43954709314
79,822.626382664301,1914.4202528841,0,99.889012208657,789.605712752823
80,811.925406466286,1889.51688728482,0,100,795.46687695465
81,800.291691254361,1862.4428467637,0,100,793.484726350619
82,813.498950110658,1893.17884596383,0,99.889012208657,793.790721662607
83,804.065056771882,1871.22424196389,0,100,792.798372910402
84,806.378613235164,1876.60836219494,0,100,793.709468469624
85,798.212959485353,1857.60521174157,0,100,792.865866400485
86,806.325936360758,1876.48577230803,0,100,793.014728102084
87,822.626382664301,1914.4202528841,0,100,786.541666274686
88,802.172896130746,1866.82079620839,0,100,792.554554832529
89,786.744148905183,1830.91493810841,0,100,792.663138823471
90,816.873261011065,1901.03155925312,0,100,793.036965877853
91,784.375534209046,1825.4026860811,0,0,793.770251954863
92,777.062365914202,1808.38344406377,0,100,794.837408486197
93,822.626382664301,1914.4202528841,0,100,789.67040515315
94,822.626382664301,1914.4202528841,0,99.889012208657,788.462058770894
95,794.618685594947,1849.24059947626,0,100,792.309278987408
96,760.769460769195,1770.46651330974,0,100,794.548444814813
97,817.977215485519,1903.60068765538,0,100,792.466531664202
98,822.626382664301,1914.4202528841,0,99.889012208657,786.725743265968
99,769.84192944105,1791.58000800803,0,100,792.873161584797
100,782.961218659114,1822.11128382387,0,100,793.214360283899
101,790.310427874861,1839.21440045349,0,0,792.815549964454
102,819.342695048649,1906.77843855864,0,100,792.022098176218
103,822.626382664301,1914.4202528841,0,100,790.631115604268
104,788.227402119548,1834.36677244484,0,100,794.080066121977
105,805.810706541269,1875.28672688218,0,99.889012208657,792.189733225362
106,811.075293263664,1887.53849956636,0,99.889012208657,793.303657317731
107,753.722400664163,1754.06655960941,0,100,792.508937102071
108,798.140072755801,1857.43558937818,0,100,793.022233308592
109,780.464357061863,1816.30057496361,0,100,793.522263313889
110,781.731468470452,1819.24940300315,0,100,792.382772003732
111,810.548521262433,1886.31259311714,0,99.7780244173141,792.792273515794
112,808.231941380138,1880.92143677017,0,100,795.456317137872
113,799.307735574061,1860.1529801584,0,100,792.652897808227
114,809.983771865902,1884.99830548267,0,100,792.382101512689
115,809.418372805496,1883.68250594717,0,100,793.283221204115
116,808.606182548108,1881.79237269748,0,100,792.971026003708
117,814.665773145366,1895.89428239555,0,99.889012208657,794.094177650155
118,789.259665143026,1836.76906014202,0,0,793.051352031513
119,808.626871364832,1881.84051981576,0,99.889012208657,793.784461076116
120,815.353076305425,1897.49377776454,0,100,793.421695046308
121,806.724182993673,1877.41257387404,0,100,793.007705206102
122,790.654068338327,1840.01412226747,0,100,793.968148986073
123,819.347358914135,1906.78929232984,0,100,792.337778410009
124,814.068038314696,1894.50323089294,0,100,794.031319450218
125,799.292212519793,1860.11685482847,0,100,794.486743005355
126,785.004784333194,1826.8670801331,0,100,792.261747814346
127,808.447220060982,1881.42243439838,0,100,792.427885127815
128,800.758461191467,1863.52911610768,0,100,794.458394271476
129,813.524652734718,1893.23866123975,0,100,793.704605336312
130,802.699323013679,1868.04589949658,0,99.889012208657,794.282915014753
131,805.613674349695,1874.82819257551,0,100,793.405556325999
132,789.200416674614,1836.63117680851,0,100,793.852700674398
133,810.047855977771,1885.14744234995,0,100,795.486594319855
134,786.891355479938,1831.25751798916,0,99.889012208657,793.087729349359
135,795.382334192744,1851.01776633173,0,100,792.652310215395
136,801.468853275083,1865.18234413564,0,99.889012208657,793.084118152598
137,795.429434482973,1851.12737836392,0,100,792.711665122091
138,797.598154098226,1856.17443355417,0,100,792.052526804936
139,774.731289908842,1802.95855226633,0,100,792.67709375731
140,794.800863722343,1849.6645653301,0,100,791.931015261061
141,792.16962057446,1843.54112304971,0,100,793.056414291554
142,795.955260344245,1852.35108295147,0,100,792.228621181681
143,790.565461795329,1839.80791667519,0,100,793.599308918855
144,771.878220052521,1796.31887375499,0,100,792.420202055989
145,807.383635772627,1878.94725569613,0,100,793.809992889616
146,771.582438631396,1795.63052974493,0,100,792.784407838976
147,798.146651008065,1857.45089831991,0,99.889012208657,794.553130412322
148,785.361331512021,1827.69683851995,0,100,792.384620750072
149,802.305667276856,1867.12978188703,0,100,793.127078508437
150,802.495862079156,1867.57240418701,0,100,793.516380194929
151,796.468644459338,1853.54583304478,0,100,793.364030674503
152,821.456455251614,1911.69759192835,0,100,791.775999961369
153,815.62344888205,1898.12299018397,0,99.7780244173141,792.086395603905
154,810.33971060554,1885.82664790678,0,99.889012208657,794.846229806793
155,812.860742904842,1891.69360694634,0,100,792.047970655855
156,798.749195011936,1858.85314175457,0,0,792.937769507437
157,821.230513186941,1911.17177841968,0,100,793.065088497224
158,821.239214709073,1911.19202864573,0,100,791.879627073626
159,782.606497373017,1821.28577466376,0,100,791.5451796673
160,798.387651194893,1858.01175516615,0,100,793.795445895988
161,822.296811824528,1913.6532739691,0,99.889012208657,791.506382780903
162,811.707620596424,1889.01005491372,0,100,794.286188512746
163,800.603311763081,1863.16805157804,0,100,794.541087375414
164,820.29502302569,1908.99470101394,0,99.889012208657,792.604898972446
165,790.667576988081,1840.04555966507,0,99.889012208657,793.045468335273
166,793.236984648949,1846.02509808925,0,100,794.369335379008
167,773.676006045168,1800.50269035413,0,100,793.173501199646
168,790.929677927887,1840.65552228971,0,100,793.59364261526
169,805.137656738679,1873.72040199832,0,100,794.325244317738
170,812.226563783539,1890.21774210738,0,100,793.346632769411
171,785.433896797127,1827.86571281622,0,100,793.371982308859
172,799.414273449004,1860.4009156365,0,100,792.285868049364
173,802.404794553658,1867.3604713839,0,100,793.403244363299
174,781.658013620787,1819.07845850777,0,100,792.245962112429
175,822.626382664301,1914.4202528841,0,100,790.137632044907
176,812.172147643212,1890.09110459207,0,100,793.724953313621
177,805.429987636065,1874.4007159322,0,100,792.170972469544
178,797.586802360213,1856.14801573241,0,100,793.40776542077
179,809.212754462781,1883.20398990641,0,100,792.318347395952
180,822.626382664301,1914.4202528841,0,99.889012208657,788.13073507493
181,822.626382664301,1914.4202528841,0,99.889012208657,787.445201021213
182,811.20263587374,1887.83485192865,0,100,792.452347023207
183,817.46918929038,1902.41840654033,0,100,793.110183568535
184,786.404965678595,1830.1255891985,0,99.889012208657,794.644015652236
185,793.608328866015,1846.88929221787,0,100,792.76597788928
186,793.178931178943,1845.88999576203,0,100,793.812436463622
187,793.44882948784,1846.51810446321,0,100,794.372267443268
188,816.883067757891,1901.05438156363,0,99.889012208657,793.583844473253
189,809.149324504838,1883.05637538943,0,100,793.643721811042
190,810.415335837909,1886.0026433277,0,99.889012208657,793.56252765839
191,779.152401362124,1813.24738506429,0,100,792.816297609868
192,815.679582952129,1898.25362567403,0,100,792.557460458642
193,822.626382664301,1914.4202528841,0,100,788.521372044767
194,813.672724177301,1893.58325384525,0,100,792.620471480875
195,808.037670106274,1880.46932768507,0,100,793.330446999003
196,801.416089369688,1865.05955170977,0,100,792.660416989698
197,792.218537323698,1843.65496235443,0,100,792.951459999614
198,816.165846688843,1899.38526108644,0,100,793.601253192708
199,822.626382664301,1914.4202528841,0,100,790.274040574675
200,806.320029174255,1876.4720250739,0,100,792.006297216107
